Peak Number,Start Index,End Index,Duration (Samples),Kurtosis (Peak),Std Dev (Peak),Avg Kurtosis (Dataset),Avg Std Deviation (Dataset),Duration (Seconds)
1,1,2,1,10.153,8714.431,12.686,3064.223,0.015
2,4,7,3,15.968,7845.209,12.686,3064.223,0.045
3,13,14,1,15.641,6647.091,12.686,3064.223,0.015
4,16,22,6,11.823,16252.481,12.686,3064.223,0.09
5,32,37,5,16.76,18741.713,12.686,3064.223,0.075
6,53,56,3,12.918,10201.307,12.686,3064.223,0.045
7,58,60,2,16.954,5204.839,12.686,3064.223,0.03
8,72,75,3,11.155,6136.321,12.686,3064.223,0.045
9,76,81,5,16.359,8422.354,12.686,3064.223,0.075
10,88,93,5,16.428,11529.273,12.686,3064.223,0.075
11,106,108,2,11.811,11999.357,12.686,3064.223,0.03
12,109,110,1,16.413,9711.222,12.686,3064.223,0.015
13,114,115,1,12.17,4646.808,12.686,3064.223,0.015
14,116,117,1,12.509,8843.726,12.686,3064.223,0.015
15,122,124,2,16.273,7897.311,12.686,3064.223,0.03
16,127,131,4,15.381,5768.453,12.686,3064.223,0.06
17,136,139,3,17.375,13526.206,12.686,3064.223,0.045
18,157,164,7,14.666,15130.885,12.686,3064.223,0.105
19,171,172,1,6.893,5114.774,12.686,3064.223,0.015
20,179,180,1,11.572,4842.862,12.686,3064.223,0.015
21,182,186,4,14.938,8741.257,12.686,3064.223,0.06
22,191,193,2,13.296,9695.327,12.686,3064.223,0.03
23,202,204,2,16.334,5259.179,12.686,3064.223,0.03
24,211,213,2,14.699,5487.593,12.686,3064.223,0.03
25,215,216,1,20.001,7009.756,12.686,3064.223,0.015
26,217,218,1,12.97,4914.033,12.686,3064.223,0.015
27,219,220,1,16.388,8355.39,12.686,3064.223,0.015
28,224,225,1,15.529,5660.946,12.686,3064.223,0.015
29,233,234,1,6.993,5752.267,12.686,3064.223,0.015
30,262,263,1,8.03,4753.219,12.686,3064.223,0.015
31,285,286,1,13.156,6938.852,12.686,3064.223,0.015
32,337,338,1,17.397,7521.021,12.686,3064.223,0.015
33,367,369,2,19.001,6387.789,12.686,3064.223,0.03
34,398,399,1,29.28,7776.92,12.686,3064.223,0.015
